!	sf
!GIHO	sy
"	sl	sr
$	su
%	su
'	sl	sr
(	sl
(KS)	sy
(주)	ncn
(주)대우	nqq
)	sr
*	sy
,	sp
-	sd
->	sy
.	sf	sy
...	se
......	se
/	sp
007시리즈	ncn
1.21	nqq
1.21사태	nqq
1.21청와대기습기도사건	nqq
1.22	nqq
1.22공동선언	nqq
1.22선언	nqq
1.22정계개편	nqq
1.22정재편	nqq
1.22합당	nqq
1.22합당선언	nqq
10.15선거	nqq
10.26	nqq
10.26사건	nqq
10.26사태	nqq
10.26시해사건	nqq
10.26정변	nqq
10.26쿠데타	nqq
100가지	ncn
10대	ncn
10대가수	ncn
10대그룹	ncn
10대뉴스	ncn
10대청소년	ncn
10부제	ncn
10부제운행	ncn
10세기	nqq
10월유신	nqq
10월혁명	ncn
10종경기	ncn
10차선	ncn
114	ncn
119	ncn
11세기	nqq
12.12	ncn
12.12군사반란	nqq
12.12군사쿠데타	nqq
12.12반란	nqq
12.12사건	nqq
12.12사태	ncn
12.12쿠데타	nqq
129센터	ncn
129응급센터	ncn
12세기	nqq
12지	ncn
13대대선	nqq
13대총선	nqq
13대총선거	nqq
13세기	ncn
14대	ncn
14대국회의원선거	nqq
14대대선	nqq
14대대통령선거	nqq
14대총선	nqq
14대총선거	nqq
14세	ncn
14세기	nqq
14총선	nqq
15대	ncn
15세기	nqq
16강	ncn
16강전	ncn
16세	ncn
16세기	nqq
16주기	ncn
17세기	ncn
18세기	nqq
1937년	ncn
19세기	ncn
1tv	ncn
1가구1주택	ncn
1관왕	ncn
1당독재	ncn
1등서기관	ncn
1등석	ncn
1루수	ncn
1부리그	ncn
1분기	ncn
1세	ncn
1세기	nqq
1원화	ncn
1인당	ncn
1인당GNP	ncn
1인당생산성	ncn
1인자	ncn
1점홈런	ncn
1차관보	ncn
1차대전	ncn
1차대회	ncn
1차세계대전	ncn
1쿼터	ncn
1호선	ncn
1호업체	ncn
1회용기저귀	ncn
1회용면도기	ncn
1회용젓가락	ncn
1회용주사기	ncn
1회용품	ncn
2*4	ncn
2*4경골구조	ncn
2.8	nqq
2.8독립선언운동	nqq
2000학번	ncn
2002년	ncn
208영동호	ncn
20대	ncn
20세기	ncn
20세기폭스	ncn
21세기	ncn
21세기위원회	ncn	nqq
21세미만주니어축구대회	nqq
21신진호	ncn
24시간영업	ncn
24시간편의점	ncn
24절기	ncn
2tv	ncn
2관왕	ncn
2국	ncn
2군감독	ncn
2군사령관	ncn
2단로켓	ncn
2대악법반대투쟁	nqq
2루수	ncn
2루수플라이	ncn
2백해리	ncn
2부제	ncn
2부제수업	ncn
2세	ncn
2세경영	ncn
2세경영체제	ncn
2세교육	ncn
2세기	nqq
2연패	ncn
2원화	ncn
2인자	ncn
2중	ncn
2중고	ncn
2중과세방지협정	ncn
2중장부	ncn
2중주단	ncn
2지구	ncn
2진급투수	ncn
2차대전	ncn
2차방어전	ncn
2차세계대전	ncn
2차회담	ncn
2쿼터	ncn
2플러스4회담	nqq
2호선	nqpc
2회전	ncn
3.1	nqq
3.1독립만세	nqq
3.1독립만세운동	nqq
3.1독립운동	nqq
3.1만세	nqq
3.1만세운동	ncn
3.1문화상	ncn
3.1민주구국선언	ncn
3.1민주구국선언사건	nqq
3.1운동	ncn
3.1운동관	ncn
3.1의거	nqq
3.1절	ncn
3.1항쟁	nqq
3.1혁명	nqq
3.24데모	nqq
30대그룹	ncn
35mm	ncn
38선	ncn
3D기피현상	ncn
3D업종	ncn
3D현상	ncn
3고	ncn
3고시대	ncn
3공이후	ncn
3관왕	ncn
3김	ncn
3김시대	ncn
3년생	ncn
3단로켓	ncn
3당보수연합	nqq
3당야합	ncn
3당연합	nqq
3당통합	ncn
3당합당	ncn
3당합동	nqq
3루수	ncn
3백년을	ncn
3부작	ncn
3선개헌	nqq
3선개헌반대투쟁	nqq
3성장군	ncn
3세기	nqq
3역회의	ncn
3월	nqq
3인조	ncn
3자간협정	ncn
3자개입	ncn
3자회담	ncn
3저	ncn
3저시대	ncn
3점슛	ncn
3점포	ncn
3점홈런	ncn
3중주단	ncn
3차대전	ncn
3차산업	ncn
3차세계대전	ncn
3차전	ncn
3쿼터	ncn
3학년생	ncn
3호선	nqpc
4.11	ncn
4.11총선	ncn
4.13호헌조치	nqq
4.19	ncn
4.19데모	nqq
4.19묘소	nqq
4.19묘역	nqq
4.19민주혁명	nqq
4.19의거	nqq
4.19지	nqq
4.19학생혁명	nqq
4.19혁명	nqq
4.26	nqq
4.26총선	nqq
4.26총선거	nqq
4.27선거	nqq
4.3	nqq
4.3보궐선거	nqq
4.3봉기	nqq
4.3사건	nqq
4.3사태	nqq
4.3선거	nqq
4.3제주항쟁	nqq
4.3폭동	nqq
4.3항쟁	nqq
40대	ncn
42번가	ncn
4강	ncn
4강대결	ncn
4강전	ncn
4단오토	ncn
4대강	ncn
4대강오염	ncn
4세기	nqq
4연패	ncn
4인가족	ncn
4인방	ncn
4자연합	ncn
4자회담	ncn
4중주단	ncn
4쿼터	ncn
4호선	nqpc
5.16	ncn
5.16광장	nqq
5.16군사구테타	nqq
5.16군사쿠데타	nqq
5.16군사쿠테타	nqq
5.16민족상	nqq
5.16상	nqq
5.16쿠데타	nqq
5.16통지	ncn
5.16혁명	nqq
5.17	ncn
5.17계엄	nqq
5.17비상계엄확대조치	nqq
5.18	ncn
5.18광주민주항쟁	nqq
5.18광주민주화운동	nqq
5.18광주민주화항쟁	nqq
5.18광주민중항쟁	ncn
5.18광주사태	nqq
5.18광주의거	nqq
5.18광주항쟁	nqq
5.18묘역	nqq
5.18묘역제단	nqq
5.18민주항쟁	nqq
5.18민주화운동	nqq
5.18민중운동	nqq
5.18민중항쟁	nqq
5.18사태	nqq
5.18시위	nqq
5.18의거	nqq
5.18특별법	ncn
5.18항쟁	nqq
5.18희생자묘역	nqq
58대책	ncn
58부동산대책	ncn
58부동산투기억제대책	ncn
58조치	ncn
5개년계획	ncn
5공	ncn
5공비리	ncn
5공비리사건	ncn
5공비리조사특별위원회	nqq
5공정권	ncn
5공정부	ncn
5공청문회	ncn
5공특위	nqq
5공화국	ncn
5대그룹	ncn
5세기	nqq
5월투쟁	ncn
5월혁명	nqq
5일제근무	ncn
5일제수업	ncn
5종경기	ncn
5중주단	ncn
5호선	ncn
6.1	nqq
6.10국민항쟁	nqq
6.10대회	nqq
6.10만세사건	nqq
6.10만세운동	ncn
6.10민중항쟁	nqq
6.10시민항쟁	nqq
6.10항쟁	nqq
6.25	nqq
6.25남침	nqq
6.25동란	ncn
6.25사변	nqq
6.25전쟁	nqq
6.29	nqq
6.29선언	nqq
6.29현상	ncn
6.3빌딩	nqq
6.3항쟁	nqq
6.4	nqq
6.4사건	nqq
6.4사태	nqq
6.4천안문사건	nqq
6.4천안문사태	nqq
63빌딩	ncn
63빌딩체크	nqq
6공	ncn
6공비리	ncn
6공비리사건	ncn
6공비리청문회	nqq
6공정권	ncn
6공정부	ncn
6공청문회	ncn
6공화국	ncn
6대국회	ncn
6대도시	ncn
6대도시지역	ncn
6세기	nqq
6월민주항쟁	nqq
6월민주화운동	nqq
6월민주화항쟁	nqq
6월항쟁	nqq
6호선	nqpc
77인	ncn
7단계	ncn
7백년전의	ncn
7세기	nqq
7전4선승제	ncn
7호선	nqpc
8.15	nqq
8.15광복절	nqq
8.15민족해방	nqq
8.15범민족대회	nqq
8.15해방	nqq
88	ncn
88년서울올림픽	nqq
88도로	nqq
88서울올림픽	nqq
88서울올림픽공원	nqq
88올림픽	nqq
88올림픽대로	nqq
88올림픽도로	nqq
88잔디마당	ncn
8x8	nqq
8x8사	nqq
8강	ncn
8강전	ncn
8세기	nqq
8학군	ncn
8학군증후군	ncn
8호선	nqpc
900경해호	ncn
92년	ncn
96유럽축구선수권대회	ncn
96한국남자테니스서킷	ncn
97학년도	ncn
9기	ncn
9세기	nqq
9월의	ncn
:	sp
;	sy
<	sl
<->	sy
=	sy
>	sr
?	sf
@	sy
ABC제도	ncn
ABM	ncn
ABS	ncn
AFP	ncn
AFPAP	ncn
AFTA	ncn
AIDS	ncn
AIDS감염	ncn
AIDS감염자	ncn
AIDS검사	ncn
AIDS백신	ncn
AIDS치료제	ncn
AIDS환자	ncn
AM	ncn
AM방송	ncn
AP	ncn
AT&T	nqq
ATM	ncn
AV	ncn
AV기기	ncn
AV시스템	ncn
AWACS	ncn
B/L	ncn
BBS	nqq
BCG접종	ncn
BL	ncn
BMF	ncn
BMW	nqq
BMW자동차	nqq
BOD	ncn
BSI	ncn
BYC	nqq
Bill	f
B형간염	ncn
B형간염백신	ncn
CATV	ncn
CATV사업	ncn
CB	ncn
CCTV	ncn
CD	ncn
CDP	ncn
CD금리	ncn
CD발행	ncn
CD플레이어	ncn
CF	ncn
CFC	ncn
CF모델	ncn
CIS	nqq
CM	ncn
CMA	ncn
CNN뉴스	nqq
COD	ncn
COMECON	nqq
CP	ncn
CSCE	nqq
CT	ncn
CVS	ncn
CY	nqq
Clinton	f
Co.	sy
DACOM	nqq
DAT	ncn
DB저작권	ncn
DIY상품	ncn
DJ	nqq
DMZ	ncn
DNA	ncn
DO	ncn
DPA	ncn
DTP	ncn
EBS	nqq
EBS청소년창작가요제	nqq
EC	ncn
EC경제	ncn
EC경제통합	ncn
EC국가	ncn
EC단일시장	ncn
EC무역	ncn
EC의장국	ncn
EC정상회담	ncn
EC통합	ncn
EC통합군	ncn
EC통화	ncn
EEA	ncn
EMS	ncn
ETRI	nqq
EU	nqq
EU경제	ncn
EU경제통합	ncn
EU국가	ncn
EU단일시장	ncn
EU무역	ncn
EU의장국	ncn
EU통합	ncn
EU통합군	ncn
EXPO93	nqq
Esperanto	f
E마크	ncn
F-14	nqq
F-14전투기	nqq
F-15	nqq
F-15전투기	nqq
F-16	nqq
F-16전투기	nqq
F14	nqq
F14전투기	nqq
F15	nqq
F15전투기	nqq
F16	nqq
F16전투기	nqq
FA컵축구대회	nqq
FM	ncn
FMS	ncn
FM방송	ncn
FRP	ncn
FX전투기	ncn
F아이스스케이트	ncn
G7	ncn
G7연구사업	ncn
G7정상회담	ncn
G7프로젝트	ncn
G8	ncn
GDP	f
GND	ncn
GNP	ncn
GNP성장률	ncn
GNP증가율	ncn
GSP	ncn
GUESS	nqq
HAN_CHI	ncn
HAN_ENG	f
HDTV	ncn
HITEL	nqq
HIV	ncn
IAC	nqq
IAEA	ncn
IAEA사찰	ncn
IAEA탈퇴	ncn
IAEA핵사찰	ncn
IAEA핵안전협정	ncn
IBM	nqq
IBMPC	nqq
IBM개인용컴퓨터	nqq
IBM사	nqq
IBM컴퓨터	nqq
ICBM	ncn
ICE	ncn
IE	ncn
INF	ncn
IQ	ncn
IQ검사	ncn
IRA	ncn
IRBM	ncn
JFK	nqq
JFK공항	nqq
JP	nqq
KAERI	nqq
KAIST	nqq
KAL	nqq
KAL007기피격사건	nqq
KAL기	ncn
KAL기격추사건	nqq
KAL기사건	nqq
KAL기폭파사건	nqq
KAL빌딩방화사건	nqq
KBS	nqq
KBSTV	nqq
KBS라디오	nqq
KBS사태	nqq
KBS파업	nqq
KDI	nqq
KEDI	nqq
KIEP	nqq
KIET	nqq
KIST	nqq
KNCC	nqq
KOC	nqq
KOEX	ncn
KPC	nqq
KRNET	nqq
KS	ncn
KS규격	ncn
KS마크	ncn
KS표시	ncn
KTA	nqq
Kg	su
LA	nqq
LA공항	nqq
LA국제공항	nqq
LA기어	nqq
LA올림픽	nqq
LA폭동	nqq
LA한인타운	ncn
LA흑인폭동	nqq
LC	ncn
LD	ncn
LDP	ncn
LG	nqq
LNG	ncn
LNG비축기지	ncn
LNG선	ncn
LP	ncn
LPG	ncn
LP가스	ncn
LSD	ncn
M16	ncn
MBA	ncn
MBC	nqq
MBCTV	nqq
MBC라디오	nqq
MBC사태	nqq
MBC파업	nqq
MC	ncn
MCM	nqq
MFA	ncn
MSG	ncn
MTB	ncn
MVP	ncn
NAM	ncn
NATO회원국	ncn
NBA	ncn
NCC	nqq
NFL	ncn
NICS	ncn
NIES	ncn
NNP	ncn
NPT	ncn
NPT조약	ncn
NPT체제	ncn
NPT탈퇴	ncn
NSC	nqq
No.	sy
OA기기	ncn
OB	nqq
OB맥주	nqq
OB아이스	nqq
OB아이스맥주	nqq
OEM	ncn
OEM방식	ncn
OEM수입	ncn
OEM수출	ncn
OO	se
OOO	se
OPM	nqq
PBC	nqq
PCB	ncn
PCB공해	ncn
PCB오염	ncn
PC주택	ncn
PC통신천리안	nqq
PC통신하이텔	nqq
PD	ncn
PE	ncn
PEN	ncn
PKO	ncn
PKO파병	ncn
PKO활동	ncn
POSCO	nqq
PP	ncn
PQ	nqq
PR	ncn
PVC	ncn
PX	ncn
Q.C	ncn
REL_TYPE=NT	nqq
ROTC	ncn
ROTC장교	ncn
RP	ncn
SALT	ncn
SBS	nqq
SDI	ncn
SFX영화	ncn
SF소설	ncn
SF영화	ncn
SICAF	nqq
SICHEM	nqq
SKC	nqq
SOC	ncn
SOC투자	ncn
SOFA	ncn
SSC	ncn
START	ncn
TBC	nqq
TBS	nqq
TGV	ncn
TK	ncn
TK세력	ncn
TK인맥	ncn
TK인사	ncn
TK정권	ncn
TM.	sy
TNT	ncn
TV	ncn
TV경마	ncn
TV경마장	ncn
TV고교가정학습	ncn
TV과외	ncn
TV광고	ncn
TV난시청	ncn
TV뉴스	ncn
TV드라마	ncn
TV모니터	ncn
TV방송	ncn
TV방송국	ncn
TV방송사	ncn
TV부품	ncn
TV수신료	ncn
TV시청률	ncn
TV연설	ncn
TV연설회	ncn
TV연속극	ncn
TV유세	ncn
TV정치방송	ncn
TV중계	ncn
TV토론	ncn
TV토론회	ncn
TV프로	ncn
TV프로그램	ncn
TV회의	ncn
Tel.	sy
T셔츠	ncn
UFO	ncn
UF병해충	ncn
UIP직배	ncn
UIP직배파문	ncn
UN	ncn
UNCTAD	nqq
UNDP	ncn
UNEP	ncn
UNIX	nqq
UN가입	ncn
UN총회	ncn
UN탈퇴	ncn
UN평화유지군	ncn
UPI	ncn
UR대책	ncn
UR협상	ncn
UR협정	ncn
USA	nqq
USA투데이	nqq
USA투데이지	nqq
VCR	ncn
VTR	ncn
XX	se
XXX	se
X선	ncn
YMCA	nqq
YMCA연맹	nqq
YS	nqq
YS그룹	ncn
YS세력	ncn
YS진영	ncn
YWCA	nqq
YWCA연합회	nqq
[	sl
\"	sl	sr
]	sr
^	sy
`	sl
a1	ncn
a1등급	ncn
abs	ncn
ad	ncn
adb	ncn
adults	ncn
afc	ncn
afkn	ncn
aid	ncn
aids	ncn
aid개량분석연구소장	ncn
air	ncn
am.	sy
amps	ncn
an	ncn
and	ncn
andrew	ncn
anjar	ncn
anything	ncn
aol	ncn
ap	ncn
apart	ncn
apec	ncn
ap통신	ncn
aqmd	ncn
are	ncn
arm	ncn
armdaun	ncn
arrow	ncn
asean	ncn
asem	ncn
asem회의	ncn
asian	ncn
asic	ncn
at	ncn
at&t	ncn
at&t사	ncn
atp	ncn
avenger	ncn
aw	ncn
a클래식	ncn
baalbek	ncn
bansong	ncn
bart	ncn
bbc	ncn
bbc방송	ncn
bbs	ncn
beauty	ncn
bed	ncn
between	ncn
bill	ncn
bjp	ncn
blocking	ncn
bmcn	ncn
bmg	ncn
bmw	ncn
bod	ncn
body	ncn
bora	ncn
box	ncn
brand	ncn
broken	ncn
business	ncn
but	ncn
by	ncn
byblos	ncn
ca	ncn
caa	ncn
california	ncn
calim	ncn
calim사	ncn
cals	ncn
cam	ncn
can	ncn
capital	ncn
car	ncn
cbs	ncn
cc	ncn
cctv	ncn
cd	ncn
cdma	ncn
cdma방식	ncn
cdr	ncn
cdu	ncn
cd공장	ncn
cd기	ncn
cd롬	ncn
cd롬드라이브	ncn
cebu	ncn
ceo	ncn
ceo레터	ncn
cf	ncn
cf감독	ncn
change	ncn
check	ncn
china	ncn
chink	ncn
chinks	ncn
chosun	ncn
christy	ncn
chung	ncn
ci	ncn
cia	ncn
cis	ncn
